code2,名称,总市值
x603278,大业股份,2371660100
x600257,大湖股份,2372499300
x300195,长荣股份,2375203100
x002363,隆基机械,2375932700
x002676,顺威股份,2376000000
x603177,德创环保,2377540000
x002388,新亚制程,2377778400
x688309,恒誉环保,2378719100
x600052,浙江广厦,2380629200
x002442,龙星化工,2380800000
x300528,幸福蓝海,2380965500
x300720,海川智能,2381400000
x000608,阳光股份,2384724300
x600749,西藏旅游,2385407600
x603183,建研院,2386240600
x300336,新文化,2386441400
x300042,朗科科技,2386764000
x603928,兴业股份,2386944000
x600367,红星发展,2387461800
x002089,ST新海,2391925100
x002655,共达电声,2394000000
x002976,瑞玛工业,2396000000
x300105,龙源技术,2396718700
x000419,通程控股,2397199500
x603722,阿科力,2398055600
x002805,丰元股份,2398616600
x300532,今天国际,2398933100
x605155,西大门,2400000000
x002952,亚世光电,2404294200
x000610,西安旅游,2405358700
x002865,钧达股份,2406094400
x002786,银宝山新,2413249200
x003004,声迅股份,2413461600
x000005,世纪星源,2413464000
x002963,豪尔赛,2414780500
x600613,神奇制药,2419344500
x002178,延华智能,2421320200
x603488,展鹏科技,2422044100
x600287,江苏舜天,2424756800
x600119,ST长投,2425395300
x300157,恒泰艾普,2428306200
x002917,金奥博,2428528800
x603192,汇得科技,2430933300
x300154,瑞凌股份,2431280600
x300681,英搏尔,2432808000
x603628,清源股份,2434082000
x688528,秦川物联,2434320000
x300756,金马游乐,2434952900
x603199,九华旅游,2436066800
x002835,同为股份,2436228200
x002795,永和智控,2438000000
x002272,川润股份,2438088700
x600078,澄星股份,2438268100
x300333,兆日科技,2439360000
x002775,文科园林,2440739000
x603030,全筑股份,2443101300
x603089,正裕工业,2445016900
x002168,ST惠程,2445885200
x600090,*ST济堂,2447427000
x300399,天利科技,2448264000
x603015,弘讯科技,2449567100
x605128,上海沿浦,2449600000
x600793,宜宾纸业,2450120400
x300467,迅游科技,2450651100
x000803,北清环能,2453605000
x002618,丹邦科技,2454681600
x605151,西上海,2454789400
x688335,复洁环保,2454853000
x000952,广济药业,2456724900
x600684,珠江股份,2457966900
x603633,徕木股份,2458466200
x002922,伊戈尔,2460905300
x603322,超讯通信,2463107000
x688168,安博通,2463293400
x600101,明星电力,2465381100
x000711,京蓝科技,2467039400
x603311,金海高科,2467500000
x600818,中路股份,2468719900
x002066,瑞泰科技,2469390000
x688056,莱伯泰科,2475650000
x000633,合金投资,2476234000
x300484,蓝海华腾,2479360000
x000757,浩物股份,2479385100
x688616,西力科技,2479500000
x300404,博济医药,2481483000
